Weekday_Weekend,Calendar_Week,Fiscal_Week,Date,Industry,Day,Fiscal_Period,Day_Count,Cume
Weekday,48,P12W1,2024-11-27,86773604.05,Wednesday,Period 12,335,7315172208
Weekday,48,P12W1,2024-11-28,54731869.78,Thursday,Period 12,336,7369904078
Weekend,49,P12W2,2024-11-29,104028048.1,Friday,Period 12,337,7473932126
Weekend,49,P12W2,2024-11-30,97408173.7,Saturday,Period 12,338,7571340300
Weekend,49,P12W2,2024-12-01,65399886.1,Sunday,Period 12,339,7636740186
Weekday,49,P12W2,2024-12-02,14658667.96,Monday,Period 12,340,7651398854
Weekday,49,P12W2,2024-12-03,19698191.19,Tuesday,Period 12,341,7671097045
Weekday,49,P12W2,2024-12-04,12981538.77,Wednesday,Period 12,342,7684078584
Weekday,49,P12W2,2024-12-05,17031927.12,Thursday,Period 12,343,7701110511
Weekend,50,P12W3,2024-12-06,34235545.72,Friday,Period 12,344,7735346057
Weekend,50,P12W3,2024-12-07,54724885.31,Saturday,Period 12,345,7790070942
Weekend,50,P12W3,2024-12-08,40726321.54,Sunday,Period 12,346,7830797264
Weekday,50,P12W3,2024-12-09,10846293.74,Monday,Period 12,347,7841643557
Weekday,50,P12W3,2024-12-10,15126728.24,Tuesday,Period 12,348,7856770286
Weekday,50,P12W3,2024-12-11,11088373.44,Wednesday,Period 12,349,7867858659
Weekday,50,P12W3,2024-12-12,10544606.26,Thursday,Period 12,350,7878403265
Weekend,51,P12W4,2024-12-13,24964692.83,Friday,Period 12,351,7903367958
Weekend,51,P12W4,2024-12-14,36790894.49,Saturday,Period 12,352,7940158853
Weekend,51,P12W4,2024-12-15,27258687.43,Sunday,Period 12,353,7967417540
Weekday,51,P12W4,2024-12-16,9050586.751,Monday,Period 12,354,7976468127
Weekday,51,P12W4,2024-12-17,12946127.38,Tuesday,Period 12,355,7989414254
Weekday,51,P12W4,2024-12-18,9691757.243,Wednesday,Period 12,356,7999106012
Weekday,51,P12W4,2024-12-19,7193861.885,Thursday,Period 12,357,8006299873
Weekend,52,P12W5,2024-12-20,50897853.89,Friday,Period 12,358,8057197727
Weekend,52,P12W5,2024-12-21,46435609.43,Saturday,Period 12,359,8103633337
Weekend,52,P12W5,2024-12-22,39961390.73,Sunday,Period 12,360,8143594728
Weekday,52,P12W5,2024-12-23,29002860.77,Monday,Period 12,361,8172597588
Weekday,52,P12W5,2024-12-24,23645999.37,Tuesday,Period 12,362,8196243588
Weekday,52,P12W5,2024-12-25,59075551.82,Wednesday,Period 12,363,8255319139
Weekday,52,P12W5,2024-12-26,51227513.57,Thursday,Period 12,364,8306546653
